Tick,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10,Node11,Node12,Node13
184,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
185,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
186,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
187,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
188,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
189,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
190,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
191,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
192,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
193,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
194,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
195,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
196,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
197,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
198,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
199,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
200,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
201,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
202,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
203,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
204,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
205,0.145000,0.135000,0.135000,0.145000,0.135000,0.145000,0.145000,0.145000,0.145000,0.135000,0.135000,0.135000,0.114000
