time,success_cloudlets,pending_cloudlets,power_kW,c_power
594,5671,63,0.1140,67.7160
595,5671,63,0.1140,67.8300
596,5671,63,0.1140,67.9440
597,5671,63,0.1140,68.0580
598,5671,63,0.1140,68.1720
599,5734,63,0.1140,68.2860
600,5734,63,0.1140,68.4000
601,5734,63,0.1140,68.5140
602,5734,63,0.1140,68.6280
603,5734,63,0.1140,68.7420
604,5734,63,0.1140,68.8560
605,5734,63,0.1140,68.9700
606,5797,63,0.1140,69.0840
607,5797,63,0.1140,69.1980
608,5797,63,0.1140,69.3120
609,5797,63,0.1140,69.4260
610,5797,63,0.1140,69.5400
611,5797,63,0.1140,69.6540
612,5797,63,0.1140,69.7680
613,5860,63,0.1140,69.8820
614,5860,63,0.1140,69.9960
615,5860,63,0.1140,70.1100
616,5860,63,0.1140,70.2240
617,5860,63,0.1140,70.3380
618,5860,63,0.1140,70.4520
619,5860,63,0.1140,70.5660
620,5923,63,0.1140,70.6800
621,5923,63,0.1140,70.7940
622,5923,63,0.1140,70.9080
623,5923,63,0.1140,71.0220
624,5923,63,0.1140,71.1360
625,5923,63,0.1140,71.2500
626,5986,63,0.1140,71.3640
627,5986,63,0.1140,71.4780
628,5986,63,0.1140,71.5920
629,5986,63,0.1140,71.7060
630,5986,63,0.1140,71.8200
631,5986,63,0.1140,71.9340
632,6049,63,0.1140,72.0480
633,6049,63,0.1140,72.1620
634,6049,63,0.1140,72.2760
635,6049,63,0.1140,72.3900
636,6049,63,0.1140,72.5040
637,6049,63,0.1140,72.6180
638,6049,63,0.1140,72.7320
639,6112,63,0.1140,72.8460
640,6112,63,0.1140,72.9600
641,6112,63,0.1140,73.0740
642,6112,63,0.1140,73.1880
643,6112,63,0.1140,73.3020
644,6112,63,0.1140,73.4160
645,6112,63,0.1140,73.5300
646,6175,63,0.1140,73.6440
647,6175,63,0.1140,73.7580
648,6175,63,0.1140,73.8720
649,6175,63,0.1140,73.9860
650,6175,63,0.1140,74.1000
651,6175,63,0.1140,74.2140
652,6175,63,0.1140,74.3280
653,6238,63,0.1140,74.4420
654,6238,63,0.1140,74.5560
655,6238,63,0.1140,74.6700
656,6238,63,0.1140,74.7840
657,6238,63,0.1140,74.8980
658,6238,63,0.1140,75.0120
659,6238,63,0.1140,75.1260
660,6301,63,0.1140,75.2400
661,6301,63,0.1140,75.3540
662,6301,63,0.1140,75.4680
663,6301,63,0.1140,75.5820
664,6301,63,0.1140,75.6960
665,6301,63,0.1140,75.8100
666,6364,63,0.1140,75.9240
667,6364,63,0.1140,76.0380
668,6364,63,0.1140,76.1520
669,6364,63,0.1140,76.2660
